Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series,Expiration,Day to expire,ATM premium,+/-1 OTM premium,atr,tr,atm_tv
2019-06-28,1144.5,1149.5,1143.4,1148.4,1148.2,1.9,0.0017,115738.0,316223.0,U19,2019-09-27,91d,43.8,24.4,,6.099999999999909,42.20000000000009
2019-07-01,1161.9,1163.6,1155.4,1157.2,1157.3,9.1,0.0079,133682.0,321194.0,U19,2019-09-27,88d,42.3,21.7,,8.199999999999818,35.09999999999995
2019-07-02,1153.5,1156.1,1149.3,1150.4,1150.6,-6.7,-0.0058,119790.0,325410.0,U19,2019-09-27,87d,40.8,20.7,,6.7999999999999545,40.399999999999906
2019-07-03,1150.0,1155.9,1148.1,1153.3,1153.2,2.6,0.0023,124920.0,340505.0,U19,2019-09-27,86d,39.5,20.5,,7.800000000000182,36.200000000000045
2019-07-04,1153.2,1157.4,1136.7,1141.8,1142.2,-11.0,-0.0095,199165.0,324931.0,U19,2019-09-27,85d,40.9,21.8,,20.700000000000045,32.69999999999995
2019-07-05,1143.0,1147.0,1138.2,1146.8,1146.7,4.5,0.0039,136334.0,332161.0,U19,2019-09-27,84d,39.4,21.0,,8.799999999999955,36.19999999999995
2019-07-08,1142.5,1144.0,1137.4,1141.0,1141.3,-5.4,-0.0047,140711.0,322871.0,U19,2019-09-27,81d,40.6,20.8,,6.599999999999909,31.6
2019-07-09,1138.8,1142.0,1133.2,1134.0,1134.2,-7.1,-0.0062,147509.0,314458.0,U19,2019-09-27,80d,39.5,20.3,,8.799999999999955,30.5
2019-07-10,1137.3,1151.9,1136.8,1148.7,1148.5,14.3,0.0126,179515.0,335614.0,U19,2019-09-27,79d,38.9,19.0,,15.100000000000136,37.600000000000044
2019-07-11,1154.0,1154.8,1147.1,1152.0,1151.3,2.8,0.0024,129135.0,336135.0,U19,2019-09-27,78d,38.1,19.4,,7.7000000000000455,36.1
2019-07-12,1150.9,1153.0,1136.7,1141.2,1141.6,-9.7,-0.0084,171333.0,330159.0,U19,2019-09-27,77d,40.3,19.3,,16.299999999999955,31.500000000000043
2019-07-15,1141.2,1146.8,1138.3,1139.0,1138.9,-2.7,-0.0024,141130.0,322284.0,U19,2019-09-27,74d,39.0,20.2,,8.5,28.0
2019-07-17,1136.0,1142.8,1134.3,1137.2,1136.7,-2.2,-0.0019,151200.0,331320.0,U19,2019-09-27,72d,39.7,20.2,,8.5,27.499999999999957
2019-07-18,1133.1,1139.1,1132.0,1137.7,1137.7,1.0,0.0009,116516.0,337578.0,U19,2019-09-27,71d,38.0,19.5,9.785714285714269,7.099999999999909,25.700000000000045
2019-07-19,1146.0,1149.5,1144.1,1145.1,1145.5,7.8,0.0069,105752.0,341425.0,U19,2019-09-27,70d,36.4,17.8,9.735714285714282,5.400000000000091,31.499999999999908
2019-07-22,1139.9,1142.9,1135.4,1139.0,1138.8,-6.7,-0.0058,105969.0,331923.0,U19,2019-09-27,67d,38.1,18.9,9.685714285714296,7.5,27.1
2019-07-23,1141.0,1142.0,1134.2,1136.9,1136.8,-2.0,-0.0018,100941.0,333393.0,U19,2019-09-27,66d,38.2,18.7,9.757142857142867,7.7999999999999545,26.299999999999912
2019-07-24,1138.3,1139.5,1132.4,1137.3,1136.9,0.1,0.0001,114859.0,342187.0,U19,2019-09-27,65d,37.3,18.4,9.707142857142847,7.099999999999909,25.000000000000043
2019-07-25,1137.0,1139.5,1136.2,1138.2,1138.0,1.1,0.0,80891.0,343493.0,U19,2019-09-27,64d,35.9,17.0,8.464285714285698,3.2999999999999545,24.100000000000044
2019-07-26,1135.1,1136.4,1125.1,1128.5,1128.7,-9.3,-0.0082,161423.0,337211.0,U19,2019-09-27,63d,33.0,15.9,8.642857142857142,11.300000000000182,29.5
2019-07-30,1130.0,1130.8,1121.6,1122.7,1123.2,-5.5,-0.0049,115452.0,334466.0,U19,2019-09-27,59d,31.1,14.7,8.828571428571438,9.200000000000045,28.800000000000047
2019-07-31,1120.0,1128.0,1119.8,1125.2,1125.2,2.0,0.0018,113069.0,327616.0,U19,2019-09-27,58d,30.3,14.6,8.785714285714302,8.200000000000045,30.099999999999955
2019-08-01,1122.9,1123.3,1116.6,1119.3,1119.7,-5.5,-0.0049,132019.0,340106.0,U19,2019-09-27,57d,29.5,13.5,8.185714285714296,6.7000000000000455,23.799999999999955
2019-08-02,1110.0,1110.0,1101.0,1107.1,1107.6,-12.1,-0.0108,197220.0,321068.0,U19,2019-09-27,56d,33.6,16.3,8.278571428571436,9.0,26.500000000000092
2019-08-05,1098.6,1105.0,1091.8,1091.8,1093.6,-14.0,-0.0126,152441.0,319489.0,U19,2019-09-27,53d,35.0,15.9,8.05714285714287,13.200000000000045,26.799999999999955
2019-08-06,1080.2,1098.6,1080.1,1098.0,1097.9,4.3,0.0039,219333.0,313447.0,U19,2019-09-27,52d,32.9,15.2,8.771428571428585,18.5,30.9
2019-08-07,1093.6,1102.8,1091.2,1093.1,1093.2,-4.7,-0.0043,176458.0,298503.0,U19,2019-09-27,51d,32.2,15.1,8.992857142857149,11.599999999999909,25.299999999999912
2019-08-08,1096.1,1097.4,1088.8,1089.3,1089.8,-3.4,-0.0031,146316.0,294834.0,U19,2019-09-27,50d,33.0,16.2,9.100000000000023,8.600000000000136,22.299999999999955
2019-08-09,1092.5,1096.5,1082.0,1083.5,1083.7,-6.1,-0.0056,128488.0,281230.0,U19,2019-09-27,49d,35.1,17.0,9.750000000000016,14.5,26.6
2019-08-13,1080.3,1081.6,1055.5,1056.1,1056.6,-27.1,-0.03,194821.0,275967.0,U19,2019-09-27,45d,35.2,18.5,11.078571428571438,26.09999999999991,29.100000000000094
2019-08-14,1065.0,1074.8,1056.0,1061.8,1061.6,5.0,0.0047,235801.0,268739.0,U19,2019-09-27,44d,39.7,19.7,11.864285714285725,18.799999999999955,27.90000000000005
2019-08-15,1052.0,1060.1,1045.1,1047.4,1047.6,-14.0,-0.0132,289299.0,280352.0,U19,2019-09-27,43d,38.2,21.1,12.428571428571445,15.0,35.600000000000094
2019-08-16,1051.0,1072.5,1050.8,1069.0,1069.3,21.7,0.0207,263952.0,271298.0,U19,2019-09-27,42d,36.5,18.8,13.742857142857165,21.700000000000045,30.5
2019-08-19,1075.0,1078.3,1071.5,1075.9,1075.9,6.6,0.0062,154981.0,266787.0,U19,2019-09-27,39d,37.0,17.9,13.421428571428578,6.7999999999999545,36.09999999999991
2019-08-20,1077.0,1077.3,1063.0,1065.0,1065.6,-10.3,-0.0096,183775.0,269471.0,U19,2019-09-27,38d,35.0,17.8,13.785714285714286,14.299999999999955,25.0
2019-08-21,1064.2,1079.7,1064.2,1077.3,1076.6,11.0,0.0103,202812.0,271642.0,U19,2019-09-27,37d,34.0,16.6,14.307142857142853,15.5,31.700000000000045
2019-08-22,1072.2,1075.0,1057.0,1072.2,1071.6,-5.0,-0.0046,221675.0,262244.0,U19,2019-09-27,36d,33.9,16.9,15.114285714285709,18.0,31.100000000000044
2019-08-23,1079.9,1084.3,1075.5,1083.0,1082.9,11.3,0.0105,150419.0,259316.0,U19,2019-09-27,35d,34.8,17.3,15.09999999999999,8.799999999999955,26.799999999999997
2019-08-26,1064.0,1068.7,1056.1,1066.4,1066.8,-16.1,-0.0149,240612.0,272578.0,U19,2019-09-27,32d,36.7,18.4,15.057142857142853,12.600000000000136,28.100000000000094
2019-08-27,1063.5,1070.3,1057.0,1060.5,1060.5,-6.3,-0.0059,219812.0,271904.0,U19,2019-09-27,31d,37.7,19.0,14.68571428571428,13.299999999999955,27.200000000000003
2019-08-28,1061.5,1064.4,1058.6,1062.5,1062.3,1.8,0.0017,137207.0,273913.0,U19,2019-09-27,30d,37.0,18.0,14.271428571428585,5.800000000000182,24.5
2019-08-29,1065.0,1078.3,1063.7,1077.6,1077.6,15.3,0.0144,172985.0,275497.0,U19,2019-09-27,29d,33.5,16.0,14.699999999999998,14.599999999999909,30.90000000000009
2019-08-30,1082.5,1091.3,1079.8,1089.1,1089.3,11.7,0.0109,183981.0,277233.0,U19,2019-09-27,28d,33.7,15.7,14.485714285714282,11.5,22.799999999999912
2019-09-02,1086.0,1093.7,1084.1,1087.5,1087.8,-1.5,-0.0014,121783.0,280172.0,U19,2019-09-27,25d,32.2,15.1,13.30714285714287,9.600000000000136,19.700000000000003
2019-09-03,1087.0,1090.9,1078.4,1080.8,1081.2,-6.6,-0.0061,186701.0,300030.0,U19,2019-09-27,24d,28.9,13.1,12.857142857142874,12.5,23.100000000000044
2019-09-04,1085.8,1100.9,1085.5,1097.2,1096.0,14.8,0.0137,196616.0,303128.0,U19,2019-09-27,23d,27.8,11.8,12.88571428571431,15.400000000000091,25.000000000000046
2019-09-05,1105.1,1107.1,1098.1,1106.2,1106.1,10.1,0.0092,155025.0,293881.0,U19,2019-09-27,22d,27.3,12.1,11.978571428571447,9.0,21.099999999999955
2019-09-06,1110.0,1111.0,1104.0,1105.8,1105.3,-0.8,-0.0007,113573.0,270457.0,U19,2019-09-27,21d,26.4,10.7,11.992857142857165,7.0,20.600000000000044
2019-09-09,1106.0,1108.9,1101.5,1106.2,1106.2,0.9,0.0008,120286.0,267976.0,U19,2019-09-27,18d,25.4,9.5,11.500000000000032,7.400000000000091,19.199999999999953
2019-09-10,1106.8,1109.4,1098.6,1103.6,1103.7,-2.5,-0.0023,150706.0,274897.0,U19,2019-09-27,17d,24.3,8.4,11.164285714285759,10.800000000000182,20.70000000000009
2019-09-11,1107.2,1113.0,1103.1,1112.8,1112.5,8.8,0.01,152252.0,268094.0,U19,2019-09-27,16d,25.9,8.8,10.585714285714337,9.900000000000091,13.699999999999953
2019-09-12,1114.5,1115.7,1099.6,1099.9,1100.4,-12.1,-0.0109,170124.0,263834.0,U19,2019-09-27,15d,23.4,8.5,11.107142857142922,16.100000000000136,23.30000000000009
2019-09-13,1103.0,1105.7,1096.4,1102.2,1102.1,1.7,0.0015,159788.0,258146.0,U19,2019-09-27,14d,21.0,5.7,10.871428571428623,9.299999999999955,18.799999999999955
2019-09-16,1103.0,1106.9,1099.0,1102.6,1102.6,0.5,0.0005,108147.0,256364.0,U19,2019-09-27,11d,19.4,5.5,10.485714285714348,7.900000000000091,16.80000000000009
2019-09-17,1103.0,1110.0,1100.6,1106.2,1105.5,2.9,0.0026,157842.0,259844.0,U19,2019-09-27,10d,21.0,4.7,10.742857142857199,9.400000000000091,14.799999999999955
2019-09-18,1101.7,1103.9,1096.6,1098.6,1098.6,-6.9,-0.0062,144849.0,260809.0,U19,2019-09-27,9d,17.7,5.1,10.221428571428646,7.300000000000182,16.29999999999991
2019-09-19,1097.0,1102.0,1087.9,1087.9,1088.6,-10.0,-0.0091,151567.0,253122.0,U19,2019-09-27,8d,19.6,4.9,10.407142857142926,14.099999999999909,7.500000000000092
2019-09-20,1089.0,1091.0,1082.7,1087.6,1087.6,-1.0,-0.0009,143543.0,246321.0,U19,2019-09-27,7d,18.4,3.4,10.31428571428577,8.299999999999955,5.999999999999908
2019-09-23,1090.0,1090.0,1077.6,1078.7,1079.2,-8.4,-0.0077,106210.0,234645.0,U19,2019-09-27,4d,14.5,1.7,10.30714285714292,12.400000000000091,10.799999999999955
2019-09-24,1080.6,1084.2,1079.3,1083.5,1083.3,4.1,0.0038,134040.0,209737.0,U19,2019-09-27,3d,14.0,1.9,9.55714285714292,4.900000000000091,5.5
2019-09-25,1079.0,1081.3,1075.5,1079.6,1079.6,-3.7,-0.0034,118423.0,181389.0,U19,2019-09-27,2d,11.2,0.8,9.328571428571488,5.7999999999999545,6.60000000000009
2019-09-26,1083.0,1089.0,1082.4,1088.6,1088.6,9.0,0.0083,89288.0,106933.0,U19,2019-09-27,1d,12.3,0.5,9.300000000000052,6.599999999999909,0.8999999999999098
2019-09-27,1086.2,1096.3,1085.4,1096.2,1096.94,8.34,0.0077,24026.0,77615.0,U19,2019-09-27,0ms,3.7,0.2,9.550000000000036,10.899999999999864,-0.09999999999995435
2019-09-30,1089.0,1090.0,1083.3,1084.5,1084.8,-3.1,-0.0028,107933.0,247024.0,Z19,2019-12-27,88d,47.6,28.7,9.257142857142883,6.7000000000000455,38.1
2019-10-01,1086.4,1087.8,1072.6,1075.1,1074.9,-9.9,-0.0091,154024.0,261517.0,Z19,2019-12-27,87d,47.6,27.3,9.63571428571431,15.200000000000045,47.50000000000009
2019-10-02,1068.2,1069.7,1064.5,1067.2,1067.1,-7.8,-0.0073,152867.0,264204.0,Z19,2019-12-27,86d,47.5,28.1,8.857142857142874,5.2000000000000455,39.700000000000045
2019-10-03,1062.3,1069.4,1061.6,1068.0,1067.8,0.7,0.0007,139554.0,261045.0,Z19,2019-12-27,85d,46.8,27.6,8.750000000000032,7.800000000000182,39.8
2019-10-04,1067.8,1073.5,1062.1,1064.8,1064.8,-3.0,-0.0028,126158.0,259098.0,Z19,2019-12-27,84d,45.5,27.1,9.000000000000032,11.400000000000091,35.299999999999955
2019-10-07,1066.0,1073.0,1065.3,1069.1,1069.2,4.4,0.0041,120437.0,270425.0,Z19,2019-12-27,81d,45.7,25.5,8.878571428571458,7.7000000000000455,39.79999999999991
2019-10-08,1073.9,1076.8,1066.4,1067.1,1067.6,-1.6,-0.0015,133063.0,273122.0,Z19,2019-12-27,80d,44.6,25.5,9.100000000000007,10.399999999999864,36.69999999999991
2019-10-09,1066.5,1075.0,1063.0,1074.7,1074.5,6.9,0.0065,137005.0,284812.0,Z19,2019-12-27,79d,44.2,24.6,8.950000000000014,12.0,43.90000000000005
2019-10-10,1071.8,1072.5,1064.0,1066.3,1066.3,-8.2,-0.0076,142804.0,288503.0,Z19,2019-12-27,78d,43.7,24.4,8.964285714285731,8.5,34.99999999999996
2019-10-11,1071.2,1080.6,1070.0,1080.0,1079.5,13.2,0.0124,158065.0,290140.0,Z19,2019-12-27,77d,43.7,25.0,8.835714285714289,10.599999999999909,38.7
2019-10-15,1082.2,1084.8,1079.4,1083.2,1083.1,3.6,0.0033,112895.0,295248.0,Z19,2019-12-27,73d,43.1,24.4,8.871428571428558,5.399999999999864,34.899999999999956
2019-10-16,1085.0,1087.7,1082.8,1084.4,1084.7,1.6,0.0015,129746.0,304895.0,Z19,2019-12-27,72d,42.8,23.9,8.807142857142853,4.900000000000091,33.399999999999906
2019-10-17,1087.0,1088.4,1083.8,1088.3,1088.1,3.4,0.0031,120883.0,311848.0,Z19,2019-12-27,71d,43.3,23.6,8.664285714285727,4.600000000000136,31.59999999999995
2019-10-18,1089.8,1089.9,1081.0,1085.8,1085.6,-2.5,-0.0023,128198.0,316639.0,Z19,2019-12-27,70d,41.8,23.3,8.5214285714286,8.900000000000091,31.000000000000043
2019-10-21,1083.1,1085.4,1077.6,1079.2,1079.3,-6.3,-0.0058,120816.0,315387.0,Z19,2019-12-27,67d,40.9,21.7,8.600000000000039,7.800000000000182,36.69999999999995
2019-10-22,1080.7,1086.3,1079.6,1085.2,1085.2,5.9,0.0055,112796.0,315121.0,Z19,2019-12-27,66d,40.8,21.8,7.992857142857182,6.7000000000000455,30.59999999999995
2019-10-24,1087.8,1089.8,1079.2,1082.3,1082.4,-2.8,-0.0026,147192.0,315888.0,Z19,2019-12-27,64d,39.2,21.1,8.378571428571458,10.599999999999909,31.90000000000005
2019-10-25,1081.5,1082.4,1062.8,1064.1,1064.1,-18.3,-0.0169,213176.0,329934.0,Z19,2019-12-27,63d,40.2,21.2,9.221428571428598,19.600000000000136,29.299999999999912
2019-10-28,1060.1,1068.5,1057.5,1067.6,1067.5,3.4,0.0032,173638.0,329348.0,Z19,2019-12-27,60d,38.9,21.2,9.192857142857163,11.0,31.499999999999908
2019-10-29,1069.7,1072.9,1062.8,1064.1,1064.4,-3.1,-0.0029,145914.0,334662.0,Z19,2019-12-27,59d,39.1,20.8,9.36428571428574,10.100000000000136,28.19999999999991
2019-10-30,1065.5,1074.7,1063.2,1074.4,1074.5,10.1,0.0095,162706.0,329348.0,Z19,2019-12-27,58d,36.7,19.1,9.442857142857179,11.5,36.100000000000094
2019-10-31,1076.0,1077.7,1068.0,1068.2,1068.3,-6.2,-0.0058,160766.0,331429.0,Z19,2019-12-27,57d,38.3,19.5,9.278571428571468,9.700000000000045,31.500000000000043
2019-11-01,1070.4,1074.6,1064.5,1067.5,1067.4,-0.9,-0.0008,168304.0,330395.0,Z19,2019-12-27,56d,37.8,19.9,9.392857142857176,10.099999999999909,30.299999999999997
2019-11-04,1073.2,1094.7,1072.6,1093.1,1092.4,25.0,0.0234,234417.0,333411.0,Z19,2019-12-27,53d,37.6,19.5,10.214285714285763,22.100000000000136,30.69999999999991
2019-11-05,1093.8,1097.0,1088.6,1096.8,1096.7,4.3,0.0039,146870.0,333374.0,Z19,2019-12-27,52d,37.0,19.1,10.428571428571493,8.400000000000091,33.799999999999955
2019-11-07,1091.2,1105.5,1088.0,1104.2,1103.4,10.8,0.0099,208769.0,322838.0,Z19,2019-12-27,50d,36.2,17.7,11.328571428571488,17.5,31.999999999999957
2019-11-11,1097.0,1097.5,1090.0,1094.2,1094.0,-8.5,-0.0077,151618.0,301573.0,Z19,2019-12-27,46d,35.2,17.2,11.535714285714334,7.5,29.40000000000005
2019-11-12,1094.3,1100.8,1092.5,1094.0,1094.0,0.0,0.0,141739.0,295725.0,Z19,2019-12-27,45d,35.2,17.0,11.492857142857181,8.299999999999955,29.200000000000003
2019-11-13,1089.5,1093.4,1084.7,1089.0,1088.8,-5.2,-0.0048,165193.0,291879.0,Z19,2019-12-27,44d,35.7,16.5,11.557142857142887,8.700000000000045,24.700000000000003
2019-11-14,1087.2,1092.3,1084.0,1085.3,1085.5,-3.3,-0.0,181230.0,289094.0,Z19,2019-12-27,43d,36.2,16.1,11.671428571428594,8.299999999999955,25.90000000000005
2019-11-15,1087.9,1090.3,1079.0,1083.3,1083.3,-2.2,-0.0,176416.0,281308.0,Z19,2019-12-27,42d,33.9,15.5,11.721428571428598,11.299999999999955,25.600000000000044
2019-11-18,1085.5,1088.0,1080.5,1086.8,1086.7,3.4,0.0031,136922.0,291223.0,Z19,2019-12-27,39d,33.9,15.5,10.857142857142874,7.5,22.100000000000044
2019-11-19,1086.9,1087.3,1079.5,1085.2,1085.3,-1.4,-0.0013,168114.0,296594.0,Z19,2019-12-27,38d,32.7,14.4,10.628571428571442,7.7999999999999545,22.499999999999957
2019-11-20,1077.1,1079.4,1074.5,1074.8,1075.2,-10.1,-0.0093,159613.0,293419.0,Z19,2019-12-27,37d,31.0,13.3,10.257142857142867,4.900000000000091,30.799999999999955
2019-11-21,1071.3,1074.4,1067.3,1073.9,1073.8,-1.4,-0.0013,148045.0,295236.0,Z19,2019-12-27,36d,30.5,12.7,9.942857142857163,7.100000000000136,29.40000000000009
2019-11-22,1074.5,1078.6,1073.0,1076.1,1076.4,2.6,0.0024,123165.0,288350.0,Z19,2019-12-27,35d,30.3,12.2,9.65000000000001,5.599999999999909,29.20000000000009
2019-11-25,1081.0,1089.3,1080.5,1086.0,1086.0,9.6,0.0089,154317.0,279460.0,Z19,2019-12-27,32d,31.1,13.0,9.55714285714287,8.799999999999955,20.1
2019-12-02,1072.1,1072.3,1054.1,1054.3,1055.1,-17.0,-0.0159,221871.0,317558.0,Z19,2019-12-27,25d,24.9,9.2,9.278571428571436,18.200000000000045,20.600000000000044
2019-12-03,1052.0,1058.1,1049.3,1053.9,1053.7,-1.4,-0.0013,178139.0,321284.0,Z19,2019-12-27,24d,24.5,9.3,9.307142857142853,8.799999999999955,20.59999999999991
2019-12-04,1047.6,1057.8,1046.2,1054.8,1054.9,1.2,0.0011,205083.0,304087.0,Z19,2019-12-27,23d,23.9,7.5,8.885714285714275,11.599999999999909,19.100000000000044
2019-12-06,1058.5,1060.5,1046.6,1046.8,1047.5,-7.4,-0.01,169016.0,303221.0,Z19,2019-12-27,21d,21.5,6.5,9.34285714285714,13.900000000000091,18.299999999999955
2019-12-09,1050.0,1050.7,1040.5,1046.8,1046.9,-0.6,-0.0006,162867.0,294677.0,Z19,2019-12-27,18d,20.5,6.1,9.478571428571431,10.200000000000045,17.299999999999955
2019-12-11,1045.4,1052.3,1044.6,1048.6,1048.7,1.8,0.0017,160778.0,299117.0,Z19,2019-12-27,16d,18.2,4.3,9.40714285714286,7.7000000000000455,16.79999999999991
2019-12-12,1053.3,1063.5,1052.5,1059.3,1059.1,10.4,0.0099,174157.0,290186.0,Z19,2019-12-27,15d,19.4,5.0,9.600000000000007,11.0,10.100000000000044
2019-12-13,1070.0,1071.4,1066.6,1069.5,1069.2,10.1,0.0095,143467.0,285171.0,Z19,2019-12-27,14d,17.4,3.5,9.13571428571431,4.800000000000182,11.899999999999999
2019-12-16,1067.3,1068.0,1046.4,1046.8,1046.9,-22.3,-0.0209,210868.0,307037.0,Z19,2019-12-27,11d,16.3,3.0,10.142857142857158,21.59999999999991,13.099999999999955
2019-12-17,1044.5,1053.1,1044.0,1051.6,1051.9,5.0,0.0048,200015.0,292163.0,Z19,2019-12-27,10d,14.5,2.8,10.235714285714298,9.099999999999909,12.900000000000091
2019-12-18,1055.0,1063.6,1054.6,1061.4,1061.4,9.5,0.01,154438.0,278828.0,Z19,2019-12-27,9d,17.2,3.0,10.528571428571436,9.0,5.799999999999908
2019-12-19,1058.0,1073.1,1053.5,1069.8,1069.7,8.3,0.0078,215916.0,274148.0,Z19,2019-12-27,8d,15.9,2.5,11.421428571428562,19.59999999999991,10.699999999999955
2019-12-20,1067.8,1072.2,1060.6,1065.0,1064.9,-4.8,-0.0045,195741.0,270154.0,Z19,2019-12-27,7d,16.3,2.4,11.850000000000007,11.600000000000136,6.300000000000001
2019-12-23,1064.0,1078.9,1064.0,1070.1,1070.3,5.4,0.0051,207146.0,213662.0,Z19,2019-12-27,4d,13.4,1.4,12.285714285714302,14.900000000000091,8.49999999999991
2019-12-24,1069.8,1073.8,1065.2,1066.0,1066.0,-4.3,-0.0,126900.0,167815.0,Z19,2019-12-27,3d,15.6,1.5,11.600000000000007,8.599999999999909,6.6
2019-12-25,1064.2,1070.8,1062.3,1069.6,1069.7,3.7,0.0035,41724.0,107372.0,Z19,2019-12-27,2d,12.5,0.6,11.578571428571438,8.5,7.099999999999909
2019-12-26,1070.0,1073.5,1068.1,1072.9,1073.1,3.4,0.0032,57946.0,63595.0,Z19,2019-12-27,1d,9.0,0.5,11.13571428571431,5.400000000000091,6.900000000000091
2019-12-27,1076.6,1078.0,1063.0,1063.4,1063.71,-9.39,-0.0088,45580.0,48056.0,Z19,2019-12-27,0ms,11.2,0.2,11.214285714285731,15.0,-0.39999999999990976
2020-01-02,1065.2,1079.3,1065.0,1076.7,1076.6,9.7,0.0091,168099.0,253260.0,H20,2020-03-30,88d,43.8,23.7,11.507142857142867,14.299999999999955,42.09999999999995
2020-01-03,1075.0,1081.7,1073.5,1075.4,1075.4,-1.2,-0.0011,174869.0,257169.0,H20,2020-03-30,87d,43.5,23.4,11.542857142857153,8.200000000000045,43.09999999999991
2020-01-06,1070.0,1071.4,1057.6,1058.2,1059.2,-16.2,-0.0151,235446.0,271187.0,H20,2020-03-30,84d,45.0,23.4,11.742857142857165,13.800000000000182,36.799999999999955
2020-01-07,1064.9,1071.8,1059.5,1070.8,1070.9,11.7,0.01,211875.0,265441.0,H20,2020-03-30,83d,41.4,22.1,12.278571428571436,12.299999999999955,37.19999999999995
2020-01-08,1061.1,1063.5,1052.6,1053.6,1054.2,-16.7,-0.0156,243337.0,280512.0,H20,2020-03-30,82d,42.5,22.5,11.514285714285734,10.900000000000091,38.90000000000009
2020-01-09,1064.9,1070.7,1060.9,1068.2,1068.0,13.8,0.0131,199422.0,283440.0,H20,2020-03-30,81d,42.7,22.5,11.564285714285736,9.799999999999955,35.90000000000005
2020-01-10,1067.8,1071.5,1063.6,1068.5,1068.7,0.7,0.0007,155019.0,282880.0,H20,2020-03-30,80d,42.0,21.7,11.485714285714314,7.900000000000091,35.5
2020-01-13,1071.0,1074.5,1068.2,1072.0,1071.8,3.1,0.0029,142138.0,297896.0,H20,2020-03-30,77d,41.9,21.8,10.535714285714318,6.2999999999999545,38.9
2020-01-14,1074.8,1075.0,1065.1,1071.7,1071.8,0.0,0.0,162436.0,302060.0,H20,2020-03-30,76d,40.6,20.9,10.414285714285743,9.900000000000091,37.30000000000005
